kind,name,bytes,flops,median_ns,p95_ns,mad_ns,gbs,gflops,ai,notes
attention_decode,decode ctx 128,1.04858e+06,1.04858e+06,172791,194316,1051,6.06846,6.06846,1,"reference, unfused"
attention_decode,blocked ctx 128,1.04858e+06,1.04858e+06,153696,176704,1823,6.8224,6.8224,1,block-at-a-time
attention_decode,fused ctx 128,524288,1.04858e+06,159136,171910,5179,3.29459,6.58918,2,"GQA fusion, two-pass"
attention_decode,fast ctx 128,524288,1.04858e+06,54952,57577,71,9.54084,19.0817,2,fusion + online softmax + AVX-512
attention_decode,decode ctx 512,4.1943e+06,4.1943e+06,734006,786690,6912,5.71426,5.71426,1,"reference, unfused"
attention_decode,blocked ctx 512,4.1943e+06,4.1943e+06,678102,701841,5971,6.18536,6.18536,1,block-at-a-time
attention_decode,fused ctx 512,2.09715e+06,4.1943e+06,613592,646954,8395,3.41783,6.83566,2,"GQA fusion, two-pass"
attention_decode,fast ctx 512,2.09715e+06,4.1943e+06,237673,267167,6603,8.82369,17.6474,2,fusion + online softmax + AVX-512
attention_decode,decode ctx 1280,1.04858e+07,1.04858e+07,2.66375e+06,2.82745e+06,20028,3.93647,3.93647,1,"reference, unfused"
attention_decode,blocked ctx 1280,1.04858e+07,1.04858e+07,2.40864e+06,2.55653e+06,25388,4.35339,4.35339,1,block-at-a-time
attention_decode,fused ctx 1280,5.24288e+06,1.04858e+07,1.98544e+06,2.06799e+06,27251,2.64067,5.28134,2,"GQA fusion, two-pass"
attention_decode,fast ctx 1280,5.24288e+06,1.04858e+07,954046,1.00622e+06,40416,5.49542,10.9908,2,fusion + online softmax + AVX-512
attention_prefill,prefill S=256 as decode,2.69484e+08,2.69484e+08,4.64831e+07,4.71044e+07,378545,5.79746,5.79746,1,S independent decode calls; GEMM AI is higher
attention_decode,fast ctx 1280 packed,5.24288e+06,1.04858e+07,585940,645562,8445,8.94781,17.8956,2,1-layer frames; paging tax vs fast ctx 1280
attention_decode,fast ctx 1280 layer-major,5.24288e+06,1.04858e+07,590279,621738,11211,8.88204,17.7641,2,"28 layers, 1 layer/frame, layer-major reserve"
attention_decode,fast ctx 1280 layer-major L0-only,5.24288e+06,1.04858e+07,595809,623891,15058,8.7996,17.5992,2,"28-layer pool, only layer 0 filled"
stream,STREAM triad 1 thread,2.01327e+08,3.35544e+07,7.22276e+06,7.40649e+06,166400,27.8739,4.64565,0.166667,AVX-512 a=b+s*c
stream,STREAM triad OpenMP,2.01327e+08,3.35544e+07,6.54326e+06,6.59003e+06,6572,30.7685,5.12809,0.166667,all cores
stream,memcpy 64 MiB,1.34218e+08,0,4.63455e+06,4.70534e+06,35817,28.9603,0,0,read+write bytes
env,freq_khz,4965438,0,4940376,4965438,0,0,0,0,powersave AMD Ryzen 7 8845H w/ Radeon 780M Graphics
