trace_mix,pixel_budget,dimension_source,mode,pool_blocks,tokens_per_block,baseline_max_context,preemption_watermark,requests,requests_admitted,requests_completed,requests_never_admissible,steps,tokens_decoded,peak_active_requests,peak_blocks_in_use,peak_bytes_in_use,utilization,max_partial_block_slack,preemptions,resumes,failed_resumes,swapped_blocks_out,forks,cow_events,prefix_hits,prefix_blocks_saved,p99_ttft_cost,size_aware,prefix_caching,head_of_line_stall_steps,fragmentation_failures,completed,leak_free
image-heavy,recommended,devices,paged,192,16,8192,0,400,400,400,0,27440,34951,2,181,332136448,0.994967,15,0,0,0,0,0,0,0,0,597206,0,0,26864,0,1,1
image-heavy,recommended,devices,contiguous,192,16,8192,0,400,400,400,0,27963,34951,2,192,352321536,0.876094,485,0,0,0,0,0,0,0,0,0,0,0,27402,1244,1,1
image-heavy,recommended,devices,paged,256,16,8192,0,400,400,400,0,20659,34951,3,245,449576960,0.994967,15,0,0,0,0,0,0,0,0,597206,0,0,20076,0,1,1
image-heavy,recommended,devices,contiguous,256,16,8192,0,400,400,400,0,22271,34951,3,256,469762048,0.876094,485,0,0,0,0,0,0,0,0,0,0,0,21721,3178,1,1
image-heavy,recommended,devices,paged,384,16,8192,0,400,400,400,0,11330,34951,5,355,651427840,0.994967,15,0,0,0,0,0,0,0,0,597087,0,0,10751,0,1,1
image-heavy,recommended,devices,contiguous,384,16,8192,0,400,400,400,0,12562,34951,5,384,704643072,0.876094,485,0,0,0,0,0,0,0,0,0,0,0,12020,4042,1,1
image-heavy,recommended,devices,paged,512,16,8192,0,400,400,400,0,8368,34951,6,472,866123776,0.994967,15,0,0,0,0,0,0,0,0,597120,0,0,7787,0,1,1
image-heavy,recommended,devices,contiguous,512,16,8192,0,400,400,400,0,9903,34951,6,508,932184064,0.876094,485,0,0,0,0,0,0,0,0,0,0,0,9368,5559,1,1
image-heavy,recommended,devices,paged,768,16,8192,0,400,400,400,0,5372,34951,8,697,1279000576,0.994967,15,0,0,0,0,0,0,0,0,597072,0,0,4800,0,1,1
image-heavy,recommended,devices,contiguous,768,16,8192,0,400,400,400,0,6179,34951,8,754,1383596032,0.876094,485,0,0,0,0,0,0,0,0,0,0,0,5661,3936,1,1
image-heavy,recommended,devices,paged,1024,16,8192,0,400,400,400,0,4589,34951,8,926,1699217408,0.994967,15,0,0,0,0,0,0,0,0,596829,0,0,3964,0,1,1
image-heavy,recommended,devices,contiguous,1024,16,8192,0,400,400,400,0,4806,34951,8,990,1816657920,0.876094,485,0,0,0,0,0,0,0,0,0,0,0,4252,1519,1,1
