# NVIDIA L4, 58 SMs, L2 48 MiB, peak DRAM 300 GB/s
# block 16 tokens x 28 layers x 8 kv heads x 128 dim x 2 B, 16 query heads, bf16, scattered block table
# speedup is against split=1, the whole-context baseline, in the same row group
batch,context_len,partitions,programs,us_per_call,unique_gb_per_s,pct_of_roof,speedup_vs_baseline,step_ms,chosen_by_heuristic
1,256,1,16,45.14,23.23,7.7,1.000,1.264,0
1,256,2,32,31.54,33.25,11.1,1.431,0.883,0
1,256,4,64,25.42,41.25,13.7,1.776,0.712,0
1,256,8,128,22.31,47.01,15.7,2.024,0.625,0
1,256,16,256,17.46,60.07,20.0,2.586,0.489,1
2,256,1,32,49.77,42.14,14.0,1.000,1.393,0
2,256,2,64,39.72,52.80,17.6,1.253,1.112,0
2,256,4,128,34.59,60.64,20.2,1.439,0.968,0
2,256,8,256,25.32,82.82,27.6,1.965,0.709,0
2,256,16,512,23.66,88.64,29.5,2.104,0.662,1
4,256,1,64,63.92,65.62,21.9,1.000,1.790,0
4,256,2,128,57.06,73.51,24.5,1.120,1.598,0
4,256,4,256,39.13,107.19,35.7,1.634,1.096,0
4,256,8,512,37.15,112.91,37.6,1.721,1.040,1
4,256,16,1024,38.69,108.41,36.1,1.652,1.083,0
8,256,1,128,91.76,91.42,30.5,1.000,2.569,0
8,256,2,256,64.69,129.68,43.2,1.418,1.811,0
8,256,4,512,59.73,140.45,46.8,1.536,1.672,1
8,256,8,1024,61.95,135.42,45.1,1.481,1.734,0
8,256,16,2048,67.28,124.67,41.6,1.364,1.884,0
16,256,1,256,111.46,150.52,50.2,1.000,3.121,0
16,256,2,512,104.12,161.14,53.7,1.071,2.915,1
16,256,4,1024,105.85,158.50,52.8,1.053,2.964,0
16,256,8,2048,107.65,155.85,51.9,1.035,3.014,0
16,256,16,4096,113.53,147.78,49.3,0.982,3.179,0
32,256,1,512,194.17,172.81,57.6,1.000,5.437,1
32,256,2,1024,200.34,167.49,55.8,0.969,5.610,0
32,256,4,2048,200.16,167.63,55.9,0.970,5.605,0
32,256,8,4096,203.29,165.06,55.0,0.955,5.692,0
32,256,16,8192,213.96,156.82,52.3,0.908,5.991,0
64,256,1,1024,379.12,177.01,59.0,1.000,10.615,1
64,256,2,2048,382.42,175.48,58.5,0.991,10.708,0
64,256,4,4096,389.42,172.33,57.4,0.974,10.904,0
64,256,8,8192,398.12,168.56,56.2,0.952,11.147,0
64,256,16,16384,417.52,160.73,53.6,0.908,11.691,0
1,1280,1,16,195.79,26.78,8.9,1.000,5.482,0
1,1280,2,32,113.69,46.12,15.4,1.722,3.183,0
1,1280,4,64,80.57,65.07,21.7,2.430,2.256,0
1,1280,8,128,67.58,77.58,25.9,2.897,1.892,0
1,1280,16,256,46.15,113.61,37.9,4.243,1.292,0
1,1280,27,432,43.03,121.85,40.6,4.550,1.205,1
2,1280,1,32,203.14,51.62,17.2,1.000,5.688,0
2,1280,2,64,139.79,75.01,25.0,1.453,3.914,0
2,1280,4,128,108.68,96.48,32.2,1.869,3.043,0
2,1280,8,256,77.27,135.71,45.2,2.629,2.163,0
2,1280,16,512,69.91,149.98,50.0,2.906,1.958,1
2,1280,27,864,72.65,144.33,48.1,2.796,2.034,0
4,1280,1,64,249.98,83.89,28.0,1.000,7.000,0
4,1280,2,128,176.77,118.64,39.5,1.414,4.949,0
4,1280,4,256,138.04,151.92,50.6,1.811,3.865,0
4,1280,8,512,128.11,163.69,54.6,1.951,3.587,1
4,1280,16,1024,128.49,163.22,54.4,1.946,3.598,0
4,1280,27,1728,127.90,163.97,54.6,1.954,3.581,0
8,1280,1,128,331.62,126.48,42.2,1.000,9.285,0
8,1280,2,256,257.75,162.73,54.2,1.287,7.217,0
8,1280,4,512,242.20,173.17,57.7,1.369,6.782,1
8,1280,8,1024,243.32,172.38,57.5,1.363,6.813,0
8,1280,16,2048,243.58,172.20,57.4,1.361,6.820,0
8,1280,27,3456,244.31,171.68,57.2,1.357,6.841,0
16,1280,1,256,488.73,171.64,57.2,1.000,13.684,0
16,1280,2,512,469.86,178.53,59.5,1.040,13.156,1
16,1280,4,1024,477.28,175.76,58.6,1.024,13.364,0
16,1280,8,2048,472.66,177.48,59.1,1.034,13.235,0
16,1280,16,4096,472.31,177.61,59.2,1.035,13.225,0
16,1280,27,6912,483.53,173.49,57.8,1.011,13.539,0
32,1280,1,512,837.72,200.27,66.7,1.000,23.456,1
32,1280,2,1024,909.77,184.41,61.5,0.921,25.474,0
32,1280,4,2048,863.28,194.34,64.8,0.970,24.172,0
32,1280,8,4096,843.83,198.82,66.3,0.993,23.627,0
32,1280,16,8192,847.25,198.02,66.0,0.989,23.723,0
32,1280,27,13824,868.96,193.07,64.3,0.964,24.331,0
64,1280,1,1024,1629.48,205.92,68.6,1.000,45.626,1
64,1280,2,2048,1589.78,211.06,70.3,1.025,44.514,0
64,1280,4,4096,1599.15,209.83,69.9,1.019,44.776,0
64,1280,8,8192,1578.16,212.62,70.9,1.033,44.189,0
64,1280,16,16384,1597.65,210.02,70.0,1.020,44.734,0
64,1280,27,27648,1660.88,202.03,67.3,0.981,46.505,0
