trace_mix,pixel_budget,dimension_source,mode,pool_blocks,tokens_per_block,baseline_max_context,preemption_watermark,requests,requests_admitted,requests_completed,requests_never_admissible,steps,tokens_decoded,peak_active_requests,peak_blocks_in_use,peak_bytes_in_use,utilization,max_partial_block_slack,preemptions,resumes,failed_resumes,swapped_blocks_out,forks,cow_events,head_of_line_stall_steps,fragmentation_failures,completed,leak_free
image-heavy,recommended,devices,paged,192,16,8192,0,400,400,400,0,22045,34951,3,192,352321536,0.991442,15,36,36,1855,2949,0,0,21452,0,1,1
image-heavy,recommended,devices,contiguous,192,16,8192,0,400,400,400,0,27963,34951,2,192,352321536,0.876094,485,0,0,0,0,0,0,27402,1244,1,1
image-heavy,recommended,devices,paged,256,16,8192,0,400,400,400,0,14948,34951,4,256,469762048,0.991800,15,72,72,3441,5840,0,0,14352,0,1,1
image-heavy,recommended,devices,contiguous,256,16,8192,0,400,400,400,0,22271,34951,3,256,469762048,0.876094,485,0,0,0,0,0,0,21721,3178,1,1
image-heavy,recommended,devices,paged,384,16,8192,0,400,400,400,0,10210,34951,5,384,704643072,0.994969,15,15,15,273,1357,0,0,9632,0,1,1
image-heavy,recommended,devices,contiguous,384,16,8192,0,400,400,400,0,12562,34951,5,384,704643072,0.876094,485,0,0,0,0,0,0,12020,4042,1,1
image-heavy,recommended,devices,paged,512,16,8192,0,400,400,400,0,7127,34951,7,512,939524096,0.994974,15,56,56,1047,4720,0,0,6551,0,1,1
image-heavy,recommended,devices,contiguous,512,16,8192,0,400,400,400,0,9903,34951,6,508,932184064,0.876094,485,0,0,0,0,0,0,9368,5559,1,1
image-heavy,recommended,devices,paged,768,16,8192,0,400,400,400,0,4842,34951,8,768,1409286144,0.994969,15,13,13,265,1365,0,0,4249,0,1,1
image-heavy,recommended,devices,contiguous,768,16,8192,0,400,400,400,0,6179,34951,8,754,1383596032,0.876094,485,0,0,0,0,0,0,5661,3936,1,1
image-heavy,recommended,devices,paged,1024,16,8192,0,400,400,400,0,4573,34951,8,1010,1853358080,0.994967,15,0,0,0,0,0,0,3945,0,1,1
image-heavy,recommended,devices,contiguous,1024,16,8192,0,400,400,400,0,4806,34951,8,990,1816657920,0.876094,485,0,0,0,0,0,0,4252,1519,1,1
